entry_date,entry_price,exit_date,exit_price,shares,profit_loss,profit_pct,days_held,exit_reason
2025-01-17,137.6973419189453,2025-01-21,140.81704711914062,72.62304312225895,226.56248528251967,2.2656248528251988,1,PROFIT TARGET (1.0%)
2025-01-22,147.05648803710938,2025-01-24,142.60687255859375,69.54172931630103,-309.43395516855685,-3.025786578959222,2,STOP LOSS
2025-01-27,118.40910339355469,2025-01-28,128.9781494140625,83.75309199962896,885.1902837039032,8.925872857409978,1,PROFIT TARGET (1.0%)
2025-01-29,123.6886215209961,2025-01-31,120.0589599609375,87.33478214068525,-316.99570159213704,-2.9345153300479265,2,STOP LOSS
2025-02-04,118.63909149169922,2025-02-05,124.81851959228516,88.38000173795459,546.1378662693505,5.208593578127907,1,PROFIT TARGET (1.0%)
2025-02-06,128.66815185546875,2025-02-10,133.55772399902344,85.73575371539164,419.2111530734443,3.8001417390739256,2,PROFIT TARGET (1.0%)
2025-02-13,135.27755737304688,2025-02-14,138.8372344970703,84.64576352448239,301.31158806359747,2.6313877875597136,1,PROFIT TARGET (1.0%)
2025-02-18,139.38717651367188,2025-02-21,134.41763305664062,84.31179979084678,-418.9911530011313,-3.565280236911761,3,STOP LOSS
2025-02-25,126.61835479736328,2025-02-26,131.26792907714844,89.50513205425878,416.16075990825556,3.6721171170058353,1,PROFIT TARGET (1.0%)
2025-02-27,120.13895416259766,2025-02-28,124.90850830078125,97.79636761809817,466.44506987222417,3.9700313453107094,1,PROFIT TARGET (1.0%)
2025-03-03,114.04950714111328,2025-03-04,115.97933197021484,107.10785782964524,206.6994034315296,1.692093966450714,1,PROFIT TARGET (1.0%)
2025-03-05,117.28921508789062,2025-03-06,110.55982971191406,105.91167986361198,-712.7205096193019,-5.737428945136946,1,STOP LOSS
2025-03-07,112.67964172363281,2025-03-10,106.97016143798828,103.91919171116601,-593.3245763750169,-5.067002519983211,1,STOP LOSS
2025-03-11,108.75,2025-03-12,115.73999786376953,102.21841575952811,714.5065077970073,6.427584242546702,1,PROFIT TARGET (1.0%)
2025-03-13,115.58000183105469,2025-03-14,121.66999816894531,102.35991550630806,623.3715105802098,5.2690744431657555,1,PROFIT TARGET (1.0%)
